Experimental_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,T=0.25,T=0.5,T=1.0,Release
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,0.0,0.09,0.19,0.35,0.0
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,0.26,0.09,0.19,0.35,0.07
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,1.06,0.09,0.19,0.35,0.4
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,2.09,0.09,0.19,0.35,0.57
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,3.11,0.09,0.19,0.35,0.69
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,4.13,0.09,0.19,0.35,0.76
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,5.08,0.09,0.19,0.35,0.82
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,6.1,0.09,0.19,0.35,0.84
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,7.17,0.09,0.19,0.35,0.85
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,8.12,0.09,0.19,0.35,0.86
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,9.13,0.09,0.19,0.35,0.9
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,10.14,0.09,0.19,0.35,0.9
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,11.09,0.09,0.19,0.35,0.9
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,12.16,0.09,0.19,0.35,0.93
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,13.11,0.09,0.19,0.35,0.93
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,14.12,0.09,0.19,0.35,0.94
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,15.19,0.09,0.19,0.35,0.94
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,16.14,0.09,0.19,0.35,0.95
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,17.34,0.09,0.19,0.35,0.97
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,0.0,0.27,0.34,0.45,0.0
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,0.19,0.27,0.34,0.45,0.49
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,2.08,0.27,0.34,0.45,0.59
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,3.1,0.27,0.34,0.45,0.65
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,4.05,0.27,0.34,0.45,0.67
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,5.13,0.27,0.34,0.45,0.7
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,6.14,0.27,0.34,0.45,0.72
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,7.09,0.27,0.34,0.45,0.73
